,msl,olr,sm1,t2m,tp,z500
1950-08-30,260.09375,-27.144257,-0.057025254,1.1210022,-0.00024576546,580.5039
1950-08-31,-364.03906,1.1291504,-0.066383034,0.29522705,-0.00014739163,-91.53516
1950-09-01,-1077.4375,43.505722,0.02192375,-3.47641,0.000324312,-1400.8438
1950-09-02,-782.0,6.5127563,0.022703916,-0.9732361,-0.00017492523,-832.41406
1950-09-03,-226.10156,28.377579,-0.006704867,-1.3964844,-0.00024011714,-571.4258
1950-09-04,-97.69531,0.9881439,-0.027962118,-1.723175,-0.00024028461,-407.8086
1950-09-05,137.14844,-18.501328,-0.043442428,-0.061401367,-0.00023980274,320.73828
1950-09-06,117.84375,26.289139,-0.04244396,-0.18637085,-0.0001617595,161.11719
1950-09-07,122.16406,-16.265594,-0.048855066,-0.14996338,-0.00024724484,574.64453
1950-09-08,133.10938,-9.110794,-0.05732584,-0.08972168,-0.00025024897,684.8594
1950-09-09,120.53906,-31.920197,-0.065161616,0.98898315,-0.0002540739,855.6914
1950-09-10,181.73438,-35.976913,-0.07401645,3.051239,-0.00025822088,1155.3242
1950-09-11,188.38281,-24.308533,-0.08272377,4.400055,-0.00026766324,1106.8008
1950-09-12,52.898438,-23.007172,-0.09136437,4.910431,-0.00025445523,937.8867
1950-09-13,221.96875,-26.977127,-0.08808382,2.7980957,-0.0001256428,944.2344
1950-09-14,-85.890625,-8.402634,-0.047782987,3.549408,-0.0001097255,491.02344
1950-09-15,-653.75,3.5873413,0.004509479,1.4737244,0.0009525966,-183.97266
1950-09-16,-632.6797,1.5032959,0.044179082,-3.6044006,-0.00012294544,-1221.9766
1950-09-17,-130.19531,-5.6979065,0.014071584,-3.2172241,-0.00026497748,8.65625
1950-09-18,20.8125,-12.052444,-0.00071153045,-0.47802734,-0.00026690334,12.125
1950-09-19,-345.97656,17.69249,-0.007017821,-0.37176514,-0.00017087243,-479.58594
1950-09-20,-780.8906,6.4868317,0.041606277,-0.33709717,0.00020235125,-843.10547
1950-09-21,-800.6172,5.9974976,0.06661624,-2.6275635,0.000914416,-1354.9219
1950-09-22,281.84375,-24.825592,0.03760144,-3.016449,-0.0002785487,-739.16016
1950-09-23,659.60156,-11.457443,0.019247442,-1.8270264,-0.00027845785,-76.91016
1950-09-24,476.9453,-9.200577,0.0057400465,-1.5307007,-0.00027602323,326.1328
1950-09-25,56.804688,-2.8838959,-0.0011460185,-0.5191345,-0.00025576493,-21.984375
1950-09-26,-306.5625,19.955933,0.0206033,-1.8867798,5.817777e-05,-600.1719
1950-09-27,130.53906,-9.140472,0.036697447,-0.10205078,-7.874619e-05,-293.7578
1950-09-28,536.9219,-19.252869,0.019768387,-1.4033508,-0.0001763897,28.425781
1950-09-29,31.867188,-31.710693,0.007000059,-0.2006836,-0.00027314486,208.63281
1950-09-30,-170.82031,-13.672714,-0.0033575594,-1.1467896,-0.00023819071,73.59766
