,sstNorth_Atlantic_cluster1,sstNorth_Atlantic_cluster2,sstNorth_Atlantic_cluster3,sstNorth_Atlantic_cluster4,sstNorth_Atlantic_cluster5
1950-08-14,0.2841797,-1.148529,1.0004578,-0.16271973,0.38787842
1950-08-15,0.28198242,-1.0695496,1.0089417,-0.16452026,0.3683777
1950-08-16,0.27929688,-0.6914978,1.0124512,-0.17224121,0.33355713
1950-08-17,0.27297974,-0.7154236,1.0108643,-0.18109131,0.2961731
1950-08-18,0.2642517,-0.7260132,1.0030518,-0.1892395,0.2673645
1950-08-19,0.2539978,-0.7312927,0.9911194,-0.19509888,0.24594116
1950-08-20,0.24377441,-0.73379517,0.9730835,-0.20028687,0.23242188
1950-08-21,0.23300171,-0.7331238,0.94958496,-0.20275879,0.22888184
1950-08-22,0.22317505,-0.730896,0.9241028,-0.20584106,0.23495483
1950-08-23,0.21414185,-0.72631836,0.89294434,-0.20846558,0.24850464
1950-08-24,0.20724487,-0.72180176,0.8595581,-0.20986938,0.2710266
1950-08-25,0.20254517,-0.7156372,0.82177734,-0.21121216,0.30059814
1950-08-26,0.19845581,-0.7055359,0.7816162,-0.21350098,0.33654785
1950-08-27,0.19735718,-0.6939087,0.7416382,-0.21343994,0.3777771
1950-08-28,0.19662476,-0.68014526,0.69973755,-0.21331787,0.4232483
1950-08-29,0.1958313,-0.66430664,0.6569519,-0.21090698,0.4720459
1950-08-30,0.1951294,-0.64382935,0.6130676,-0.20892334,0.52130127
1950-08-31,0.19500732,-0.6164551,0.56973267,-0.20709229,0.57092285
1950-09-01,0.19610596,-0.5942993,0.5274658,-0.20465088,0.6207886
1950-09-02,0.19784546,-0.55010986,0.48327637,-0.2027893,0.6701355
1950-09-03,0.20077515,-0.5063782,0.4414673,-0.20141602,0.7167053
1950-09-04,0.20297241,-0.46191406,0.39950562,-0.20050049,0.7621155
1950-09-05,0.20889282,-0.41610718,0.35864258,-0.19894409,0.8046875
1950-09-06,0.21368408,-0.36749268,0.3201599,-0.19769287,0.8477173
1950-09-07,0.21917725,-0.31765747,0.28344727,-0.19644165,0.8880005
1950-09-08,0.22491455,-0.26779175,0.24725342,-0.19268799,0.92474365
1950-09-09,0.2324524,-0.2164917,0.21447754,-0.19024658,0.9588318
1950-09-10,0.23965454,-0.16802979,0.1835022,-0.18725586,0.98950195
1950-09-11,0.24661255,-0.12030029,0.15637207,-0.18331909,1.0171204
1950-09-12,0.25219727,-0.076049805,0.1322937,-0.17800903,1.038147
1950-09-13,0.25842285,-0.035308838,0.11401367,-0.17263794,1.0556335
1950-09-14,0.26434326,-0.0047912598,0.09890747,-0.16687012,1.0665588
1950-09-15,0.2703247,-0.048065186,0.09121704,-0.16293335,1.0722961
