,t2mEurope_cluster1,t2mEurope_cluster2,t2mEurope_cluster3,t2mEurope_cluster4,t2mEurope_cluster5
1961-08-23,-1.2933044,1.4267273,0.5107422,-0.22439575,-1.8083801
1961-08-24,-0.5946655,-3.6991272,0.1567688,-0.4801941,-1.8500366
1961-08-25,0.023834229,-3.7441711,-0.19976807,-0.62734985,-1.8070679
1961-08-26,0.6668701,-3.1254883,0.77108765,0.50756836,-1.7574463
1961-08-27,0.50704956,-3.357605,0.95806885,-0.035217285,-0.5003052
1961-08-28,0.43371582,-0.44821167,1.0599365,-1.5019226,-0.48937988
1961-08-29,2.8098755,-2.6382751,1.0904236,-2.012848,0.30270386
1961-08-30,1.4707031,-3.873413,0.42059326,-3.081665,2.9188538
1961-08-31,-0.06637573,-4.7421875,-0.7376709,-2.8291016,2.8613586
1961-09-01,1.4993896,-3.6301575,-1.3673096,0.29919434,1.8571472
1961-09-02,1.6025696,0.79208374,-1.1634521,0.6367798,0.38000488
1961-09-03,1.4784546,3.756195,-0.9143982,-0.9800415,-1.7987976
1961-09-04,1.0636292,3.8987122,-1.3199463,-4.2976074,-3.6192017
1961-09-05,0.35424805,0.10424805,-0.68518066,-5.621765,-4.2863464
1961-09-06,-1.8834534,0.5656738,-0.34890747,-5.1521606,-3.482544
1961-09-07,-2.4532776,4.620392,-0.14312744,-3.7704468,-1.9344788
1961-09-08,-0.795105,2.0454712,-0.52948,-3.351654,-0.37442017
1961-09-09,-0.42645264,-0.7489319,-0.51745605,-3.4109192,-1.3486023
1961-09-10,0.2399292,-2.1943665,-0.8939209,-4.4844055,-2.5407715
1961-09-11,0.79803467,-2.3570862,-0.7334595,-4.756592,-2.4387512
1961-09-12,0.41018677,-0.24911499,-1.1695251,-3.3621826,-1.2338562
1961-09-13,0.8159485,1.0771484,-1.8460388,-1.4270935,-2.4828186
1961-09-14,0.5322571,0.077545166,-1.3546143,-3.677124,-0.9757385
1961-09-15,2.0345154,2.6313477,-0.7752991,-2.2445984,0.6615906
1961-09-16,3.758789,-0.9310303,-1.1242676,-0.6425781,1.7202454
1961-09-17,1.8532104,1.132904,-0.96621704,0.117004395,1.8064575
1961-09-18,2.8927917,4.903351,-0.35058594,3.1541138,3.1192322
1961-09-19,4.448456,2.521759,-0.02368164,0.03427124,1.1436157
1961-09-20,2.2237244,-1.71875,-1.1466675,-3.7856445,0.10122681
1961-09-21,0.8062744,-5.9492188,-1.1391602,-2.8832397,1.5858765
1961-09-22,1.6317139,-5.389038,-1.5144348,-0.83010864,3.2276
1961-09-23,2.9042358,-3.4689636,-1.7584534,0.277771,1.6889343
1961-09-24,2.0164795,-1.8800964,-2.1738281,0.9871521,1.8410034
1961-09-25,1.4296265,-0.73812866,-2.6537476,1.7769775,1.9905701
1961-09-26,1.4526672,1.4167786,-1.999176,1.8232117,-0.2015686
1961-09-27,2.354248,-0.074157715,-1.8798523,1.410614,0.89489746
1961-09-28,2.844574,0.40829468,-2.1455994,1.3899231,2.035797
1961-09-29,2.0518494,0.3683777,-2.0456238,1.495697,3.289032
1961-09-30,2.129364,-0.13156128,-1.3091736,0.597229,3.6302795
1961-10-01,1.3565369,0.39926147,-0.8087158,1.6757202,3.9375305
1961-10-02,1.5313416,0.5970764,-0.34451294,2.5891418,4.1170654
1961-10-03,1.3724365,1.5271912,0.19030762,2.9756775,3.012268
1961-10-04,1.5923767,0.5466614,0.06555176,3.243927,2.3809814
1961-10-05,2.79245,-0.5463867,-0.21539307,1.7974854,2.729248
1961-10-06,3.9956665,0.049621582,-1.5923157,2.2404785,3.559204
1961-10-07,1.2691956,-1.5015869,-1.8531799,1.7080383,3.6574707
1961-10-08,0.5624695,-2.7825317,-1.7927856,2.1066895,3.5166626
1961-10-09,2.8471985,-2.205597,-1.4028931,2.8457642,2.5503235
1961-10-10,3.485321,-3.684723,-0.75064087,2.712738,4.5386353
1961-10-11,3.0172424,-1.9783325,-0.5131836,5.4493713,4.5133057
1961-10-12,1.8901672,0.69070435,-1.3343201,5.56073,4.654999
1961-10-13,0.83236694,0.49224854,-2.5102844,3.5956116,4.2337036
1961-10-14,0.33258057,-0.9593811,-3.452057,1.8798523,2.447998
1961-10-15,0.1769104,-0.92459106,-3.223755,1.0726013,3.7911987
1961-10-16,0.62545776,0.0909729,-2.904541,0.52664185,1.9674683
1961-10-17,-0.5394287,-1.7033081,-2.2062378,1.4216614,3.9623413
1961-10-18,-1.5318909,0.42211914,-0.8626709,1.1618958,2.4499817
1961-10-19,-0.90567017,1.6754761,-1.0448914,1.5990906,1.421051
1961-10-20,-1.5875244,-0.047180176,-1.4803467,1.5803833,0.9440613
1961-10-21,-1.3832397,-1.5183411,-1.2895203,2.5403748,0.46200562
1961-10-22,-0.34246826,-3.211609,-1.208313,3.41391,0.8123779
1961-10-23,1.5462646,-2.4590454,-0.537323,2.778595,0.5640564
1961-10-24,2.2871704,-0.91156006,0.58169556,1.1599426,-0.2192688
1961-10-25,1.1044617,-0.8062134,1.2144775,1.445221,1.3365173
1961-10-26,1.4309387,-0.316864,1.213623,4.839905,2.1684265
1961-10-27,1.2623291,0.9985657,-0.033233643,5.762329,1.1733093
1961-10-28,0.5701904,1.2384949,-2.5294495,6.4933167,3.6615295
1961-10-29,-0.3434143,2.2583923,-3.6123047,5.8300476,2.3824158
1961-10-30,-0.09799194,3.5200806,-2.1520996,4.4990845,1.9643555
1961-10-31,1.2278137,3.1956482,-0.80029297,4.8124084,-0.7142334
1961-11-01,2.6995544,4.4625244,0.33798218,4.4592896,-0.58166504
1961-11-02,2.0354004,3.2491455,-0.29501343,4.30661,2.105774
1961-11-03,-1.9794617,1.0925598,-0.37301636,5.7610474,4.059845
1961-11-04,-3.1073914,3.4388428,-2.0859375,7.5510864,1.7985535
1961-11-05,-1.770935,4.293915,-1.2336426,6.8074646,1.4333801
1961-11-06,-2.6736755,2.160797,0.42401123,5.106903,1.6171265
1961-11-07,-3.1985168,1.1372681,1.2181702,3.2637024,2.9225159
1961-11-08,0.46618652,1.78479,1.1822205,1.6397705,2.6253052
1961-11-09,-0.68310547,3.3286133,0.42868042,2.3092957,3.4974365
1961-11-10,-2.3746948,3.2233582,-0.96429443,-2.1803894,2.395996
