,mslWorld_cluster1,mslWorld_cluster2,mslWorld_cluster3,mslWorld_cluster4,mslWorld_cluster5
1951-01-13,-1549.0703,-1032.125,-493.64062,821.0469,114.40625
1951-01-14,-1484.2969,-1112.6094,-1099.5312,586.1797,58.515625
1951-01-15,-998.1875,-1292.1953,-396.0078,330.15625,140.39062
1951-01-16,-1280.8281,-1052.625,-309.03125,630.9922,232.49219
1951-01-17,-1419.9609,-1103.5781,224.41406,1188.8672,202.70312
1951-01-18,-344.54688,-450.8047,923.4297,1806.0078,114.99219
1951-01-19,-197.05469,-146.51562,1269.625,1424.2188,10.5703125
1951-01-20,-1205.2344,-56.742188,1299.8359,1642.6797,23.515625
1951-01-21,-959.89844,-175.17188,1213.8984,1963.9219,-10.9375
1951-01-22,-901.8047,-175.65625,810.3125,1636.75,-68.99219
