,olrNorth_Atlantic_cluster1,olrNorth_Atlantic_cluster2,olrNorth_Atlantic_cluster3,olrNorth_Atlantic_cluster4,olrNorth_Atlantic_cluster5
1950-12-23,-23.066315,5.16893,-8.904266,1.0969543,-13.704636
1950-12-24,-19.396606,0.75914,-17.113281,-9.877106,3.8890533
1950-12-25,-14.914307,-4.9908295,-15.357651,-9.939484,0.46954346
1950-12-26,-2.0517273,-9.3137665,-0.53616333,-10.698578,-7.6867523
1950-12-27,-3.5334778,-4.8490753,0.21221924,-11.186096,13.28093
1950-12-28,-9.581146,1.5516357,-8.843933,-15.512054,7.4855957
1950-12-29,-16.208374,6.8325195,14.946304,-17.789856,8.568222
1950-12-30,-18.205688,-2.184616,-6.162857,-11.411896,8.459259
1950-12-31,-1.7408752,-7.1188354,-7.329239,-9.719025,9.505539
1951-01-01,3.5090942,4.4855804,-2.496231,-8.457397,7.521042
1951-01-02,4.052826,13.771378,20.667175,-9.909729,0.92822266
1951-01-03,15.145035,5.5645294,-12.058365,-11.72937,4.2584076
1951-01-04,23.894608,3.6513672,-16.430862,-4.7651367,0.43997192
1951-01-05,44.7446,6.076828,6.031311,-1.4170837,2.4289856
1951-01-06,57.721115,-1.4015656,4.5546417,3.4868774,0.99313354
1951-01-07,72.08472,12.4019165,28.28981,4.3227844,10.774216
1951-01-08,8.162277,2.6685028,3.7270203,-4.3341675,-2.2880096
