,tpEurope_cluster1,tpEurope_cluster2,tpEurope_cluster3,tpEurope_cluster4,tpEurope_cluster5
1950-12-05,-3.7393937e-05,-5.8504967e-05,-8.543841e-05,-3.6913714e-06,-5.3045886e-05
1950-12-06,2.4232162e-05,0.0003671666,-8.823993e-05,-3.870413e-06,0.00036891364
1950-12-07,6.384533e-05,-2.408757e-05,-5.8026122e-05,-4.3335235e-06,-5.8956946e-05
1950-12-08,-5.9721773e-05,-6.359148e-05,-4.592468e-05,-4.4099347e-06,-0.00013230335
1950-12-09,-8.220905e-05,-6.3072446e-05,1.4169746e-05,-4.758089e-06,-0.00011919847
1950-12-10,-6.4999214e-05,-6.472231e-05,-4.3152486e-05,-5.06263e-06,0.00019763772
1950-12-11,-1.2123281e-05,-5.753389e-05,-1.4265017e-05,-4.4520425e-06,-5.723181e-06
1950-12-12,-8.415795e-06,-6.531105e-05,4.4992332e-05,-5.058404e-06,-9.687152e-06
1950-12-13,2.0262109e-05,-3.7553655e-05,0.00012183809,-5.033635e-06,-6.9124035e-05
1950-12-14,2.0925887e-05,7.1400427e-06,0.000103610924,-4.839209e-06,-8.163194e-05
1950-12-15,4.4333938e-06,-5.5472086e-05,8.144712e-05,-4.8576453e-06,7.7417586e-05
1950-12-16,0.0003889632,-5.655964e-05,-1.3546785e-05,-4.8637608e-06,0.00012921618
1950-12-17,7.0371694e-05,-4.6996436e-05,-2.2824359e-05,-4.8297193e-06,-0.00013478544
1950-12-18,0.00013724051,-6.624423e-05,6.2568564e-05,-4.904504e-06,-0.00013179163
1950-12-19,0.00019375328,-6.129646e-05,0.00039100266,-4.9050104e-06,1.1528289e-05
1950-12-20,-4.6910114e-05,7.262459e-05,3.0296098e-05,-5.085262e-06,5.197531e-05
1950-12-21,-7.90521e-05,0.00017205626,-7.985781e-05,-5.2694127e-06,-2.8841896e-06
1950-12-22,-5.945084e-05,8.124516e-06,-2.5589536e-05,-5.2752225e-06,-0.00011269172
1950-12-23,3.6541169e-06,-4.5897075e-05,3.8535676e-05,-5.4175293e-06,-0.00013660682
1950-12-24,0.0003261789,-6.712178e-05,-7.589004e-05,-5.612541e-06,-5.784967e-05
1950-12-25,-5.3271324e-05,-5.4172873e-05,-6.0043723e-05,-5.6703498e-06,-0.000110388144
1950-12-26,-6.540565e-05,-7.018972e-05,-6.96779e-05,-5.8075675e-06,-0.00012608778
1950-12-27,-7.807127e-05,-7.052246e-05,4.5444453e-05,-5.7504544e-06,-0.0001188567
1950-12-28,-7.762816e-05,-7.052245e-05,-4.6799054e-05,-6.42909e-06,-0.000109870554
1950-12-29,-5.5705226e-05,-6.9331785e-05,-7.110126e-05,-6.4024175e-06,-6.5751636e-05
1950-12-30,0.00012217154,-7.019544e-05,4.93876e-06,-6.7494016e-06,-0.00010109738
1950-12-31,0.0003399574,-5.2187104e-05,-6.874011e-05,-7.0566066e-06,-9.982294e-05
1951-01-01,-4.3150576e-06,0.00024834368,-3.354014e-05,-5.328485e-06,-0.00012285067
1951-01-02,3.4496443e-05,8.3844796e-05,8.655578e-05,-5.3744816e-06,3.6567508e-06
1951-01-03,0.0002199581,-6.69016e-05,0.00017969898,-5.5006444e-06,0.00033441087
1951-01-04,3.7776903e-05,-6.678321e-05,-6.981886e-05,-5.325529e-06,-9.173027e-05
1951-01-05,0.0002455024,-6.44366e-05,-6.850842e-05,-5.254075e-06,-0.00013078174
1951-01-06,0.00025983373,-5.054287e-05,-6.9683396e-05,-4.6831733e-06,-0.0001284536
1951-01-07,0.00022820782,5.9441918e-05,-6.891472e-05,-4.824975e-06,-0.00011540061
1951-01-08,2.9017676e-05,-2.965831e-05,-6.840607e-05,-4.5247693e-06,-0.00010061551
1951-01-09,0.00031222112,0.00034265203,-6.872435e-05,-4.239755e-06,-0.00011918047
1951-01-10,6.375357e-05,9.157331e-05,-3.9145554e-05,-4.308094e-06,-0.00011364634
1951-01-11,0.00014474463,1.1302283e-05,-6.259942e-05,-4.350897e-06,2.6483933e-05
1951-01-12,0.00010328907,5.9723458e-05,-5.193762e-05,-1.8710004e-06,3.534928e-05
1951-01-13,0.00040060375,5.4622753e-05,-7.379953e-06,2.976598e-05,-9.055241e-05
1951-01-14,2.1078435e-05,-5.4685737e-05,-5.12847e-05,-4.470529e-06,-9.363533e-05
1951-01-15,1.5459838e-05,-5.643916e-05,-4.64166e-05,-4.4897074e-06,-6.1336024e-05
1951-01-16,-5.8927373e-05,-5.3203526e-05,-9.00785e-06,-4.575298e-06,-7.97012e-05
1951-01-17,6.180362e-05,-5.475103e-05,-6.6718065e-05,-4.559257e-06,0.00030805194
1951-01-18,9.627965e-05,-5.0544193e-05,-2.3432403e-05,-4.631061e-06,-4.7610745e-05
1951-01-19,-3.747069e-05,-5.385298e-05,0.000112489,-4.4586495e-06,-3.5274446e-05
1951-01-20,-4.1221676e-05,-5.276271e-05,-4.2285013e-05,-4.5811494e-06,-0.00011632055
1951-01-21,-5.758807e-05,-4.6741945e-05,-6.4640415e-05,-5.0210615e-06,3.0851836e-05
1951-01-22,-6.537567e-05,-4.441115e-05,-6.392521e-05,-4.6794935e-06,-3.3968354e-05
1951-01-23,-5.6491488e-05,1.8436538e-05,-6.5112545e-05,-5.3370813e-06,-0.00012870439
1951-01-24,-6.7793175e-05,-4.0684754e-05,-6.472466e-05,-5.3425492e-06,-0.00012786646
1951-01-25,-6.481468e-05,-4.478331e-05,-4.7266003e-05,-5.4374036e-06,3.1053307e-05
1951-01-26,-6.620395e-05,0.00022554709,7.981261e-05,-5.5655237e-06,0.00017563326
