,sm1Europe_cluster1,sm1Europe_cluster2,sm1Europe_cluster3,sm1Europe_cluster4,sm1Europe_cluster5
1950-08-02,0.019771867,-0.01324524,-0.009761594,0.03954497,-0.027982228
1950-08-03,0.0324618,-0.013132231,-0.010155417,0.030349553,-0.028279375
1950-08-04,0.035240844,-0.013373267,-0.010491133,0.019260615,-0.02808822
1950-08-05,0.022101574,-0.013671976,-0.010657541,0.024727196,-0.02416398
1950-08-06,0.012193672,-0.013563151,-0.010444984,0.072363734,-0.020240415
1950-08-07,0.00340081,-0.013336884,-0.0103612915,0.08051056,-0.021876637
1950-08-08,-0.0037710518,-0.0135041885,-0.010401934,0.08050269,-0.023640435
1950-08-09,-0.009943526,-0.0136749465,-0.009460352,0.065309405,-0.025167443
1950-08-10,-0.012471382,-0.01421392,-0.0094089955,0.04629475,-0.026036955
1950-08-11,-0.014760755,-0.014346639,-0.009674102,0.045381874,-0.023247384
1950-08-12,-0.017884605,-0.014578547,-0.009911582,0.040100306,-0.023234826
1950-08-13,-0.0032256022,-0.014809798,-0.010166183,0.05671394,-0.025186513
1950-08-14,0.005310409,-0.01467525,-0.01044248,0.05542791,-0.026315872
1950-08-15,-0.0019760951,-0.014398061,-0.010096431,0.07669863,-0.027435374
1950-08-16,0.0014969707,-0.01444827,-0.00995636,0.05310619,-0.028434228
1950-08-17,0.0018853992,-0.014648229,-0.009970516,0.039347023,-0.030755688
1950-08-18,-0.0017911419,-0.015276654,-0.010204285,0.029507041,-0.030749042
1950-08-19,-0.004480444,-0.015371231,-0.011046082,0.019872129,-0.0308895
1950-08-20,-0.009754065,-0.014476031,-0.011057578,0.0087017715,-0.03143115
1950-08-21,-0.015128512,-0.012469714,-0.011047997,0.0010266602,-0.027394254
1950-08-22,-0.017206632,-0.010700063,-0.010659434,-0.000716269,-0.024937931
1950-08-23,-0.016775537,-0.0037313774,-0.009643622,-0.0030457675,-0.027037047
1950-08-24,-0.016539436,-0.0019397773,-0.009585425,0.023806155,-0.028829515
1950-08-25,-0.018197633,-0.0041424874,-0.009707443,0.013393074,-0.027558103
1950-08-26,-0.017353918,-0.0061176084,-0.009966701,-0.0007790029,-0.02713146
1950-08-27,-0.008392796,-0.006872166,-0.010255717,-0.011458218,-0.028358016
1950-08-28,-0.011214837,-0.0073807593,-0.010501936,-0.019956559,-0.029411156
1950-08-29,0.023337819,-0.0034556147,-0.011218011,-0.026165754,-0.030309808
1950-08-30,0.011199489,-0.001572324,-0.011873871,-0.0011194944,-0.031273942
1950-08-31,0.0028172955,-0.002861362,-0.01214809,-0.004361391,-0.03203484
1950-09-01,-0.0047530383,-0.0043371823,-0.012354381,-0.010281116,-0.03300174
1950-09-02,-0.0050275996,-0.0061874148,-0.012687489,-0.0019730628,-0.033699296
1950-09-03,-0.0051541775,-0.007887362,-0.012085155,0.056518227,-0.030229826
1950-09-04,-0.005379893,-0.009435887,-0.011739403,0.033881724,-0.0026031137
1950-09-05,-0.006444469,-0.010866434,-0.012151949,0.026292682,0.0011883527
1950-09-06,-0.009052932,-0.012130489,-0.01236514,0.018755227,-0.0032691061
1950-09-07,0.003439024,-0.013297236,-0.012574464,0.013953656,-0.009313978
1950-09-08,-0.00091408193,-0.014440649,-0.013055466,0.044057637,-0.014625944
1950-09-09,0.00029234588,-0.013406462,-0.014173426,0.03163457,-0.019753236
1950-09-10,-0.0009657368,-0.009705888,-0.014728494,0.034578204,-0.022929646
1950-09-11,-0.0039653927,-0.009096175,-0.015123785,0.027831733,-0.024994668
1950-09-12,-0.008796714,-0.0063878763,-0.015068799,0.02748403,-0.02701629
1950-09-13,-0.01373782,-0.0034324303,-0.015382543,0.02375409,-0.029679548
1950-09-14,-0.015710734,-0.004790716,-0.016314842,0.039731175,-0.031710345
1950-09-15,0.014812365,-0.0043629035,-0.017554723,0.019190699,-0.03342123
